dimension,group,trades,wins,win_rate,net_pnl,total_r,avg_r,profit_factor,avg_mae_r,avg_mfe_r
direction,bull,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
break_kind,CHoCH,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
session_utc,London,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
entry_hour,11:00,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
weekday,Monday,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
month,2026-07,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
ob_width_atr_bucket,unknown,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
wait_bars_bucket,7-12,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m15_trend,bear,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m15_alignment,counter,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m15_last_break_kind,BOS,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m15_last_break_direction,bear,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m15_range_zone,discount,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m15_active_ob_direction,bear,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
liq_m5_opposite_last_event,swept,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
liq_m5_opposite_sweep_seen,True,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
liq_m15_opposite_last_event,swept,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
liq_m15_opposite_sweep_seen,True,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
fill_liq_m5_opposite_last_event,swept,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
fill_liq_m15_opposite_last_event,swept,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
setup_m5_opposite_sweep,False,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m5_last_choch_direction,bull,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
m5_last_choch_alignment,aligned,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
fill_m5_last_choch_direction,bull,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
fill_m5_last_choch_alignment,aligned,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
context_risk_score,0,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
target_source,fixed_rr,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
bos_directional_body,True,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
bos_displacement_top_quartile,False,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
entry_age_top_quartile,False,1,0,0.0,-54.359999999996944,-1.1497461928931878,-1.1497461928931878,0.0,1.1497461928931878,0.5939086294415845
